LOCATION,IMAGE,ROTATION,LONGITUDE,LATITUDE
King George Blvd And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_132_cam1.jpg,,-122.8544116,49.204741
King George Blvd And 32 Ave Div,http://cosmos.surrey.ca/TrafficCameraImages/enc_32_kgbv_cam1.jpg,,-122.8099657,49.05862039
King George Blvd And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_152_cam1.jpg,,-122.8010375,49.05139925
King George Blvd And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_160_cam1.jpg,,-122.779072,49.03378103
King George Blvd And West of 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_132_west_cam1.jpg,,-122.8605151,49.20737578
Nordel Way And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_nordel_120_cam1.jpg,,-122.8901117,49.16188869
Nordel Way And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_nordel_120_cam2.jpg,,-122.8894028,49.16201711
Old Yale Rd And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_120_cam1.jpg,,-122.88223,49.19925174
Old Yale Rd And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_132_cam1.jpg,,-122.8564855,49.18769967
Old Yale Rd And Mall Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_mallaccess_oldyale_cam1.jpg,,-122.8473458,49.18426603
Old Yale Rd And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_134a_cam1.jpg,,-122.8516262,49.18589587
152 Ave And 152 St Ftg Rd,http://cosmos.surrey.ca/TrafficCameraImages/enc_152_152fg_cam1.jpg,,-122.8012322,49.09269238
Telegraph Trail And New Telegraph Trail,http://cosmos.surrey.ca/TrafficCameraImages/enc_telegraphtrail_cam1.jpg,,-122.6795544,49.18043001
University Dr And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_kgbv_cam1.jpg,,-122.8516178,49.20290147
104 Ave And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_104_cam1.jpg,,-122.8505598,49.19164171
104 Ave And City Parkway,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_cityparkway_cam1.jpg,,-122.8480186,49.19163148
Transit Exchange And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_transitexchange_cam1.jpg,,-122.8498747,49.18891317
University Dr And 103 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_103egress_cam1.jpg,,-122.8498553,49.18977909
104 Ave And City Hall Driveway,http://cosmos.surrey.ca/TrafficCameraImages/enc_104egress_cityhall_cam1.jpg,,-122.8496144,49.19164059
Fraser Hwy And 166 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_166_cam1.jpg,,-122.7620663,49.15077973
76 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_128_cam1.jpg,,-122.8679065,49.14102549
90 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_90_120_cam1.jpg,,-122.890306,49.16682409
104 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_140_cam1.jpg,,-122.8341328,49.19147402
100 Ave And 150 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_150_cam1.jpg,,-122.8064857,49.18417792
24 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_168_cam1.jpg,,-122.7570313,49.04568133
Panorama Dr And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_panorama_152_cam1.jpg,,-122.8009923,49.10844807
94A Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_94a_kgbv_cam1.jpg,,-122.8457585,49.174686
Fraser Hwy And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_156_cam1.jpg,,-122.7901788,49.16175523
88 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_148_cam1.jpg,,-122.8123821,49.16282209
88 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_144_cam1.jpg,,-122.8234281,49.16286069
84 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_kgbv_cam1.jpg,,-122.8457959,49.15546216
101 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_101_152_cam1.jpg,,-122.8009062,49.18612768
96 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_140_cam1.jpg,,-122.8345413,49.17698684
68 Ave And Fraser Hwy,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_fraser_cam1.jpg,,-122.7061734,49.12571523
100 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_160_cam1.jpg,,-122.7785995,49.18435037
108 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_108_144_cam1.jpg,,-122.8230237,49.19878566
84 Ave And Fraser Hwy,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_fraser_cam1.jpg,,-122.7747292,49.15575035
88 Ave And 130 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_130_cam1.jpg,,-122.8624651,49.16263097
72 Ave And 126 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_126_cam1.jpg,,-122.8734673,49.13392108
68 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_120_cam1.jpg,,-122.8903657,49.12671477
72 Ave And 122 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_122_cam1.jpg,,-122.8848215,49.13401804
26 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_26_kgbv_cam1.jpg,,-122.7980629,49.04922803
100 Ave And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_156_cam1.jpg,,-122.7897923,49.18436117
104 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_168_cam1.jpg,,-122.7564742,49.19161357
60 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_kgbv_cam1.jpg,,-122.8403557,49.11185632
105 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_105_132_cam1.jpg,,-122.856446,49.1932628
88 Ave And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_156_cam1.jpg,,-122.7901798,49.16280076
96 Ave And 137A St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_137a_cam1.jpg,,-122.8421186,49.17702451
96 Ave And 134 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_134_cam1.jpg,,-122.8513968,49.17707018
84 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_120_cam1.jpg,,-122.8903726,49.15598837
84 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_132_cam1.jpg,,-122.8568621,49.15541349
84 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_128_cam1.jpg,,-122.8679988,49.1553662
80 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_80_124_cam1.jpg,,-122.8790896,49.14837542
Fraser Hwy And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_144_cam1.jpg,,-122.823394,49.17462033
72 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_148_cam1.jpg,,-122.8121685,49.13373765
78 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_78_kgbv_cam1.jpg,,-122.8456581,49.14449602
74 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_kgbv_cam1.jpg,,-122.8456051,49.13718704
76 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_132_cam1.jpg,,-122.8567604,49.14093285
16 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_184_cam1.jpg,,-122.7133601,49.03120489
60 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_168_cam1.jpg,,-122.756627,49.11154426
72 Ave And 138 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_138_cam1.jpg,,-122.8386526,49.13359602
70 Ave And 138 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_70_138_cam1.jpg,,-122.8386459,49.12996112
72 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_144_cam1.jpg,,-122.8233302,49.13373335
84 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_140_cam1.jpg,,-122.8346012,49.15549362
76 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_144_cam1.jpg,,-122.8233853,49.14098626
84 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_144_cam1.jpg,,-122.8233515,49.1555221
60 Ave And 144 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_144_cam1.jpg,,-122.8233079,49.11184185
70B Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_70b_120_cam1.jpg,,-122.8678259,49.13142488
92 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_92_128_cam1.jpg,,-122.8680189,49.16979513
60 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_128_cam1.jpg,,-122.8678471,49.11180329
72 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_192_cam1.jpg,,-122.6907882,49.13368223
84 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_160_cam1.jpg,,-122.77884,49.15546009
Old Yale Rd And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_oldyale_124_cam1.jpg,,-122.8787087,49.19754275
King George Blvd And Mall Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_mall_cam1.jpg,,-122.8454234,49.18621625
82 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_82_128_cam1.jpg,,-122.8679786,49.15001427
102A Ave And 150 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_102a_150_cam1.jpg,,-122.8064513,49.18887483
60 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_184_cam1.jpg,,-122.7126334,49.11142451
16 Ave And Foster St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_foster_cam1.jpg,,-122.8039632,49.03112541
70 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_70_120_cam1.jpg,,-122.8903605,49.13035378
115 Ave And Bridgeview Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_115_bridgeview_cam1.jpg,,-122.8618741,49.21122981
76 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_76_152_cam1.jpg,,-122.8011247,49.14108367
24 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_140_cam1.jpg,,-122.8344084,49.04572753
Fraser Hwy And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_148_cam1.jpg,,-122.8143799,49.17112722
Mall Access And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_mall_120_cam1.jpg,,-122.8903556,49.13706945
Colebrook Rd And 152 St Ftg Rd,http://cosmos.surrey.ca/TrafficCameraImages/enc_colebrook_152fg_cam1.jpg,,-122.8007773,49.09829866
Nordel Way And Mall Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_nordel_mall_cam1.jpg,,-122.8879408,49.161957
104 Ave And Old Yale Rd,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_oldyale_cam1.jpg,,-122.8634044,49.1916865
92 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_92_132_cam1.jpg,,-122.856873,49.16992736
88 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_168_cam1.jpg,,-122.7566174,49.16285602
108 Ave And Oriole Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_108_oriole_cam1.jpg,,-122.8086192,49.19873139
16 Ave And 154 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_154_cam1.jpg,,-122.7956855,49.031104
24 Ave And Croydon Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_croydon_cam1.jpg,,-122.7827999,49.04555923
Pattullo Bridge Count Station And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_pattullo_countst_cam1.jpg,,-122.8776461,49.20565527
104 Ave And 146 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_146_cam1.jpg,,-122.8175051,49.19150988
60 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_152_cam1.jpg,,-122.8009523,49.11171894
36 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_36_152_cam1.jpg,,-122.8011811,49.06736989
68 Ave And 126 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_126_cam1.jpg,,-122.8733669,49.12662014
96 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_168_cam1.jpg,,-122.756594,49.17699635
34 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_34_kgbv_cam1.jpg,,-122.8174113,49.06484151
100 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_132_cam1.jpg,,-122.8565216,49.18440272
64 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_184_cam1.jpg,,-122.7125667,49.11874249
66A Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_66a_152_cam1.jpg,,-122.8010206,49.12351944
96 Ave And Prince Charles Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_pcharles_cam1.jpg,,-122.8641024,49.17714598
96 Ave And 137 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_137_cam1.jpg,,-122.8433963,49.17703076
32 Ave And 32 Ave Div,http://cosmos.surrey.ca/TrafficCameraImages/enc_32_32div_cam1.jpg,,-122.8071123,49.06029431
68 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_192_cam1.jpg,,-122.6908696,49.12639291
68 Ave And Fraser Hwy,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_fraser_cam2.jpg,,-122.7061667,49.1256936
72 Ave And 130 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_130_cam1.jpg,,-122.8622761,49.13380079
Fraser Hwy And 159 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_159_cam1.jpg,,-122.7820583,49.15860757
72 Ave And 137 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_137_cam2.jpg,,-122.8427967,49.1335589
102 Ave And City Parkway,http://cosmos.surrey.ca/TrafficCameraImages/enc_102_cityparkway_cam2.jpg,,-122.8476698,49.18786027
University Dr And 103 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_universitydr_103_egress_cam2.jpg,,-122.8498553,49.18977909
108 Ave And 139 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_108_139_cam1.jpg,,-122.8369324,49.19885295
104 Ave And City Parkway,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_cityparkway_cam2.jpg,,-122.8480186,49.19163148
96 Ave And 122 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_122_cam1.jpg,,-122.884623,49.17715921
104 Ave And 142 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_104_142_cam1.jpg,,-122.8286122,49.19150341
86 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_86_128_cam1.jpg,,-122.8680126,49.15894616
102 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_102_128_cam1.jpg,,-122.8676945,49.18804067
88 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_124_cam1.jpg,,-122.8790607,49.1632156
88 Ave And WalMart Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_walmart_cam1.jpg,,-122.8762194,49.16304791
92 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_92_140_cam1.jpg,,-122.8346162,49.17009932
74 Ave And 137 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_137_cam1.jpg,,-122.8428271,49.13720984
74 Ave And 138 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_138_cam1.jpg,,-122.8386814,49.13724155
74 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_140_cam1.jpg,,-122.8344807,49.13727403
88 Ave And Bear Creek Park Access,http://cosmos.surrey.ca/TrafficCameraImages/enc_88_bearcreekpark_cam1.jpg,,-122.8410026,49.16276735
72 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_140_cam1.jpg,,-122.8344536,49.13363346
Boundary Park Gate And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_boundarypark_120_cam1.jpg,,-122.8904382,49.11291035
64 Ave And 126 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_126_cam1.jpg,,-122.8734147,49.11917346
64 Ave And 134 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_134_cam1.jpg,,-122.8509962,49.11902103
64 Ave And 142 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_142_cam1.jpg,,-122.8288102,49.11910729
68 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_68_132_cam1.jpg,,-122.8566183,49.12640342
96 Ave And 172 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_96_172_cam1.jpg,,-122.74586,49.17699184
84 Ave And 168 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_168_cam1.jpg,,-122.7566227,49.15549034
84 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_84_148_cam1.jpg,,-122.8124574,49.15552595
75 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_75_124_cam1.jpg,,-122.8790584,49.13926638
103 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_103_kgbv_cam1.jpg,,-122.8453704,49.19011792
91 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_91_152_cam1.jpg,,-122.8013302,49.16828524
100 Ave And 154 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_100_154_cam1.jpg,,-122.7953554,49.18426503
74 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_74_128_cam1.jpg,,-122.8678744,49.13745771
Fraser Hwy And Fleetwood Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_fleetwood_cam1.jpg,,-122.797932,49.16474811
Fraser Hwy And 164 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_fraser_164_cam1.jpg,,-122.7677465,49.15301703
82 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_82_152_cam1.jpg,,-122.8012931,49.15190856
80 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_80_132_cam1.jpg,,-122.8568142,49.14817248
77 Ave And 132 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_77_132_cam1.jpg,,-122.8567749,49.14279055
66 Ave And 128 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_66_128_cam1.jpg,,-122.8678145,49.12285314
82 Ave And 124 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_82_124_cam1.jpg,,-122.8790945,49.15204035
86 Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_86_120_cam1.jpg,,-122.8903661,49.15959677
64 Ave And 172 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_172_cam1.jpg,,-122.7460019,49.11883684
75A Ave And 120 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_75a_120_cam1.jpg,,-122.8903532,49.14018891
16 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_160_cam1.jpg,,-122.7791936,49.03105989
34 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_34_152_cam1.jpg,,-122.8011868,49.06374022
54A Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_54a_152_cam1.jpg,,-122.8010679,49.10169782
102 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_102_140_cam1.jpg,,-122.8341561,49.18735619
60 Ave And 188 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_188_cam1.jpg,,-122.7016823,49.11133382
Mall Access And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_mall_universitydr_cam1.jpg,,-122.8510937,49.18774214
Mall Access And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_mall_152_cam1.jpg,,-122.8011691,49.05634403
20 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_20_148_cam1.jpg,,-122.812239,49.03840852
16 Ave And 136 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_136_cam1.jpg,,-122.8454191,49.0312246
56 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_56_196_cam1.jpg,,-122.6799582,49.1044008
60 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_196_cam1.jpg,,-122.6799108,49.11123641
60 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_192_cam1.jpg,,-122.6911896,49.11131072
King George Blvd And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_156_cam1.jpg,,-122.7900851,49.04279191
King George Blvd And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_kgbv_148_cam1.jpg,,-122.813035,49.06130105
16 Ave And Martin Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_martin_cam1.jpg,,-122.805301,49.03113015
17 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_17_152_cam1.jpg,,-122.8011817,49.03294132
24 Ave And 154 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_154_cam1.jpg,,-122.7956978,49.04560199
24 Ave And 156 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_24_156_cam1.jpg,,-122.7902013,49.04558333
28 Ave And 160 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_28_160_cam1.jpg,,-122.7791892,49.05280927
28 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_28_148_cam1.jpg,,-122.8122815,49.05291767
54 Ave And 192 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_54_192_cam1.jpg,,-122.6911928,49.10091652
32 Ave And 184 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_32_184_cam1.jpg,,-122.7134357,49.06016176
64 Ave And 166 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_166_cam1.jpg,,-122.7624046,49.11893037
64 Ave And 177B St,http://cosmos.surrey.ca/TrafficCameraImages/enc_64_177b_cam1.jpg,,-122.7308137,49.11877005
98B Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_98b_kgbv_cam1.jpg,,-122.8454549,49.18209912
56 Ave And King George Blvd,http://images.drivebc.ca/bchighwaycam/pub/cameras/104.jpg,320,-122.8357098,49.10554357
56 Ave And King George Blvd,http://images.drivebc.ca/bchighwaycam/pub/cameras/103.jpg,120,-122.8351017,49.10516444
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/82.jpg,270,-122.801663,49.10441869
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/80.jpg,90,-122.8003975,49.10441651
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/81.jpg,180,-122.8010245,49.10414956
56 Ave And 152 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/79.jpg,,-122.8010356,49.10477499
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/94.jpg,180,-122.734731,49.13778797
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/95.jpg,300,-122.7352689,49.13835145
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/93.jpg,125,-122.7342902,49.13795402
Fraser Hwy And 176 St,http://images.drivebc.ca/bchighwaycam/pub/cameras/86.jpg,,-122.7347268,49.13847717
No 1 Hwy And Port Mann Bridge,http://images.drivebc.ca/bchighwaycam/pub/cameras/292.jpg,,-122.8111222,49.21473586
No 99 Hwy And 8 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/539.jpg,,-122.758206,49.01415922
No 99 Hwy And 8 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/444.jpg,,-122.7586335,49.01458984
No 99 Hwy And 8 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/212.jpg,,-122.7581224,49.01468152
176 St And 56 Ave,http://images.drivebc.ca/bchighwaycam/pub/cameras/83.jpg,,-122.738298,49.1039904
72 Ave And 196 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_72_196_cam1.jpg,0,-122.6795767,49.13361013
105A Ave And Whalley Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_105a_whalley_cam1.jpg,0,-122.8424194,49.19442147
60 Ave And 172 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_60_172_cam1.jpg,0,-122.7460278,49.11151586
105A Ave And University Dr,http://cosmos.surrey.ca/TrafficCameraImages/enc_105a_university_cam1.jpg,0,-122.8508667,49.19446477
14 Ave And King George Blvd,http://cosmos.surrey.ca/TrafficCameraImages/enc_14_kgbv_cam1.jpg,,-122.7713062,49.02786231
16 Ave And 140 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_140_cam1.jpg,,-122.8342116,49.03108694
16 Ave And 148 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_148_cam1.jpg,,-122.8120897,49.03108732
16 Ave And 152 St,http://cosmos.surrey.ca/TrafficCameraImages/enc_16_152_cam1.jpg,,-122.8013547,49.03121377
