INCIDENT_TYPE,MONTH,YEAR,HUNDRED_BLOCK
Break and Enter - Business,1,2014,8000 120TH ST     
Break and Enter - Business,1,2014,9300 126TH ST     
Theft from Motor Vehicle,1,2014,14400 108TH AVE     
Theft from Motor Vehicle,1,2014,12300 77A AVE     
Theft from Motor Vehicle,1,2014,14600 73A AVE     
Break and Enter - Business,1,2014,10700 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,9100 154TH ST     
Theft of Motor Vehicle,1,2014,9800 140TH ST     
Theft from Motor Vehicle,1,2014,13300 98TH AVE     
Break and Enter - Business,1,2014,8100 120TH ST     
Break and Enter - Business,1,2014,3000 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,9800 130TH ST     
Fatal/Injury Collision,1,2014,19300 73RD AVE     
Break and Enter - Business,1,2014,13200 OLD YALE RD    
Theft from Motor Vehicle,1,2014,8100 156A ST     
Theft of Motor Vehicle,1,2014,9300 122ND ST     
Theft from Motor Vehicle,1,2014,13300 KING GEORGE BLVD    
Break and Enter - Business,1,2014,3000 152ND ST     
Theft of Motor Vehicle,1,2014,13600 BENTLEY RD     
Theft from Motor Vehicle,1,2014,8000 138TH ST     
Theft of Motor Vehicle,1,2014,15700 CROYDON DR     
Theft from Motor Vehicle,1,2014,19000 57TH AVE     
Theft from Motor Vehicle,1,2014,15600 81A AVE     
Theft from Motor Vehicle,1,2014,6500 141B ST     
Fatal/Injury Collision,1,2014,13500 108TH AVE     
Fatal/Injury Collision,1,2014,13500 108TH AVE     
Theft from Motor Vehicle,1,2014,10800 CITY PKWY     
Theft of Motor Vehicle,1,2014,12200 102A AVE     
Theft from Motor Vehicle,1,2014,9500 128TH ST     
Break and Enter - Business,1,2014,12100 92ND AVE     
Theft of Motor Vehicle,1,2014,12500 PINEWOOD CRES     
Break and Enter - Business,1,2014,8500 120TH ST     
Break and Enter - Residence,1,2014,6900 130TH ST     
Break and Enter - Business,1,2014,10200 CITY PKWY     
Break and Enter - Business,1,2014,15300 24TH AVE     
Break and Enter - Business,1,2014,8200 124TH ST     
Theft from Motor Vehicle,1,2014,8900 QUEEN MARY BLVD    
Theft from Motor Vehicle,1,2014,7200 150A ST     
Theft from Motor Vehicle,1,2014,6200 171ST ST     
Theft of Motor Vehicle,1,2014,10600 142ND ST     
Theft of Motor Vehicle,1,2014,13000 14A AVE     
Theft from Motor Vehicle,1,2014,8400 160TH ST     
Theft from Motor Vehicle,1,2014,6000 165A ST     
Shoplifting,1,2014,8800 126TH ST     
Theft from Motor Vehicle,1,2014,9600 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,9200 134A ST     
Break and Enter - Business,1,2014,10600 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,9800 151ST ST     
Theft from Motor Vehicle,1,2014,15000 75TH AVE     
Theft of Motor Vehicle,1,2014,10600 150TH ST     
Theft of Motor Vehicle,1,2014,15800 82ND AVE     
Theft from Motor Vehicle,1,2014,9200 138TH ST     
Theft of Motor Vehicle,1,2014,13600 BENTLEY RD     
Theft of Motor Vehicle,1,2014,7000 150TH ST     
Theft of Motor Vehicle,1,2014,2800 156TH ST     
Theft from Motor Vehicle,1,2014,10000 150TH ST     
Theft from Motor Vehicle,1,2014,14800 68TH AVE     
Theft of Motor Vehicle,1,2014,14500 91ST AVE     
Theft of Motor Vehicle,1,2014,16000 82ND AVE     
Theft of Motor Vehicle,1,2014,6100 188TH ST     
Fatal/Injury Collision,1,2014,5900 188TH ST     
Theft of Motor Vehicle,1,2014,12500 60A AVE     
Theft from Motor Vehicle,1,2014,13200 60B AVE     
Theft from Motor Vehicle,1,2014,2300 192ND ST     
Theft from Motor Vehicle,1,2014,6400 135A ST     
Theft of Motor Vehicle,1,2014,10700 150TH ST     
Theft from Motor Vehicle,1,2014,14600 75TH AVE     
Theft of Motor Vehicle,1,2014,10800 141ST ST     
Theft from Motor Vehicle,1,2014,19000 72A AVE     
Theft from Motor Vehicle,1,2014,15500 MADRONA DR     
Theft from Motor Vehicle,1,2014,15500 85A AVE     
Theft from Motor Vehicle,1,2014,6300 181A ST     
Theft of Motor Vehicle,1,2014,15900 26TH AVE     
Theft of Motor Vehicle,1,2014,8200 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,10700 139TH ST     
Theft of Motor Vehicle,1,2014,13500 CRESTVIEW DR     
Theft from Motor Vehicle,1,2014,7300 146TH ST     
Theft of Motor Vehicle,1,2014,6600 122ND ST     
Theft from Motor Vehicle,1,2014,7800 122ND ST     
Theft from Motor Vehicle,1,2014,14700 69A AVE     
Break and Enter - Business,1,2014,10000 152ND ST     
Fatal/Injury Collision,1,2014,7800 152ND ST     
Theft of Motor Vehicle,1,2014,10600 139TH ST     
Theft from Motor Vehicle,1,2014,15600 101A AVE     
Theft of Motor Vehicle,1,2014,5900 164TH ST     
Theft of Motor Vehicle,1,2014,6700 150B ST     
Break and Enter - Business,1,2014,7800 132ND ST     
Theft from Motor Vehicle,1,2014,9700 130TH ST     
Theft from Motor Vehicle,1,2014,8900 161A ST     
Theft of Motor Vehicle,1,2014,9400 152ND ST     
Break and Enter - Business,1,2014,13700 80TH AVE     
Theft from Motor Vehicle,1,2014,17700 100TH AVE     
Theft from Motor Vehicle,1,2014,14900 94TH AVE     
Theft from Motor Vehicle,1,2014,15500 89TH AVE     
Theft from Motor Vehicle,1,2014,6700 176TH ST     
Theft from Motor Vehicle,1,2014,7100 148B ST     
Theft of Motor Vehicle,1,2014,10800 CITY PKWY     
Fatal/Injury Collision,1,2014,11800 PATTULLO BRDG     
Theft from Motor Vehicle,1,2014,9300 122ND ST     
Theft of Motor Vehicle,1,2014,14800 33RD AVE     
Theft of Motor Vehicle,1,2014,11100 124TH ST     
Theft of Motor Vehicle,1,2014,14300 PARK DR     
Theft from Motor Vehicle,1,2014,8000 133A ST     
Theft from Motor Vehicle,1,2014,16900 58A AVE     
Theft of Motor Vehicle,1,2014,13200 80TH AVE     
Theft of Motor Vehicle,1,2014,7800 122ND ST     
Break and Enter - Business,1,2014,9200 121ST ST     
Fatal/Injury Collision,1,2014,7600 152ND ST     
Theft from Motor Vehicle,1,2014,13400 59B AVE     
Theft of Motor Vehicle,1,2014,13800 80B AVE     
Theft from Motor Vehicle,1,2014,6000 174A ST     
Theft from Motor Vehicle,1,2014,8100 153A ST     
Break and Enter - Business,1,2014,16000 108TH AVE     
Theft of Motor Vehicle,1,2014,14500 76B AVE     
Theft from Motor Vehicle,1,2014,18000 60TH AVE     
Theft of Motor Vehicle,1,2014,13100 103A AVE     
Theft from Motor Vehicle,1,2014,14600 78TH AVE     
Theft of Motor Vehicle,1,2014,13700 111A AVE     
Theft of Motor Vehicle,1,2014,8900 QUEEN MARY BLVD    
Theft from Motor Vehicle,1,2014,15000 92ND AVE     
Theft from Motor Vehicle,1,2014,12300 SOUTHPARK CRES     
Theft from Motor Vehicle,1,2014,6100 170A ST     
Theft from Motor Vehicle,1,2014,10900 136TH ST     
Break and Enter - Business,1,2014,8400 128TH ST     
Theft of Motor Vehicle,1,2014,11700 RIVER RD     
Break and Enter - Business,1,2014,13700 107A AVE     
Theft of Motor Vehicle,1,2014,10100 143RD ST     
Theft from Motor Vehicle,1,2014,13700 88TH AVE     
Theft from Motor Vehicle,1,2014,8400 153A ST     
Theft from Motor Vehicle,1,2014,14600 81A AVE     
Theft of Motor Vehicle,1,2014,14900 102A AVE     
Theft of Motor Vehicle,1,2014,12700 107A AVE     
Theft from Motor Vehicle,1,2014,18200 60A AVE     
Theft from Motor Vehicle,1,2014,10100 143RD ST     
Break and Enter - Residence,1,2014,2400 126TH ST     
Theft from Motor Vehicle,1,2014,8100 157A ST     
Theft from Motor Vehicle,1,2014,14700 72A AVE     
Theft of Motor Vehicle,1,2014,14700 67B AVE     
Theft from Motor Vehicle,1,2014,14900 102A AVE     
Theft from Motor Vehicle,1,2014,13000 76TH AVE     
Theft of Motor Vehicle,1,2014,8600 154A ST     
Theft from Motor Vehicle,1,2014,7800 156A ST     
Theft from Motor Vehicle,1,2014,13700 96TH AVE     
Break and Enter - Business,1,2014,1700 152ND ST     
Theft from Motor Vehicle,1,2014,18500 64B AVE     
Theft of Motor Vehicle,1,2014,17900 68TH AVE     
Theft of Motor Vehicle,1,2014,7600 126A ST     
Theft from Motor Vehicle,1,2014,8900 132ND ST     
Theft from Motor Vehicle,1,2014,8000 146A ST     
Theft of Motor Vehicle,1,2014,8700 GALWAY CRES     
Break and Enter - Business,1,2014,6300 168TH ST     
Theft of Motor Vehicle,1,2014,14000 GREENCREST DR     
Theft from Motor Vehicle,1,2014,7900 155A ST     
Theft of Motor Vehicle,1,2014,10500 131A ST     
Theft from Motor Vehicle,1,2014,13100 72A AVE     
Theft of Motor Vehicle,1,2014,1500 184TH ST     
Theft of Motor Vehicle,1,2014,9500 127TH ST     
Theft from Motor Vehicle,1,2014,6100 169TH ST     
Theft from Motor Vehicle,1,2014,10700 137A ST     
Break and Enter - Business,1,2014,6700 152ND ST     
Break and Enter - Business,1,2014,13700 80TH AVE     
Theft from Motor Vehicle,1,2014,14700 60TH AVE     
Theft from Motor Vehicle,1,2014,7300 151A ST     
Theft of Motor Vehicle,1,2014,10600 142ND ST     
Fatal/Injury Collision,1,2014,19500 32ND AVE     
Theft from Motor Vehicle,1,2014,13400 KING GEORGE BLVD    
Break and Enter - Business,1,2014,8400 160TH ST     
Theft from Motor Vehicle,1,2014,6200 186TH ST     
Theft of Motor Vehicle,1,2014,7000 191ST ST     
Theft from Motor Vehicle,1,2014,7900 155A ST     
Theft from Motor Vehicle,1,2014,9800 WHALLEY BLVD     
Theft from Motor Vehicle,1,2014,6300 175A ST     
Theft from Motor Vehicle,1,2014,7100 144TH ST     
Theft from Motor Vehicle,1,2014,13400 90TH AVE     
Theft from Motor Vehicle,1,2014,13800 17TH AVE     
Theft from Motor Vehicle,1,2014,15600 78A AVE     
Break and Enter - Business,1,2014,10500 SCOTT RD     
Break and Enter - Business,1,2014,13700 80TH AVE     
Theft from Motor Vehicle,1,2014,12400 66TH AVE     
Theft from Motor Vehicle,1,2014,14400 79A AVE     
Theft from Motor Vehicle,1,2014,7400 150A ST     
Theft of Motor Vehicle,1,2014,9600 192ND ST     
Theft from Motor Vehicle,1,2014,10200 144A ST     
Theft from Motor Vehicle,1,2014,6600 128A ST     
Fatal/Injury Collision,1,2014,15100 PHEASANT DR     
Theft from Motor Vehicle,1,2014,18100 69TH AVE     
Theft from Motor Vehicle,1,2014,7600 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,10000 121ST ST     
Theft from Motor Vehicle,1,2014,10200 133RD ST     
Theft of Motor Vehicle,1,2014,10200 143A ST     
Theft from Motor Vehicle,1,2014,15100 PHEASANT DR     
Theft of Motor Vehicle,1,2014,6700 144B ST     
Break and Enter - Business,1,2014,15700 32ND AVE     
Theft from Motor Vehicle,1,2014,1600 138B ST     
Theft from Motor Vehicle,1,2014,6000 131A ST     
Theft from Motor Vehicle,1,2014,7300 151A ST     
Theft from Motor Vehicle,1,2014,14600 59TH AVE     
Break and Enter - Business,1,2014,14800 SPENSER DR     
Theft from Motor Vehicle,1,2014,15000 73B AVE     
Theft from Motor Vehicle,1,2014,16800 87TH AVE     
Theft from Motor Vehicle,1,2014,7100 134TH ST     
Theft of Motor Vehicle,1,2014,10900 131A ST     
Theft from Motor Vehicle,1,2014,14600 72ND AVE     
Theft from Motor Vehicle,1,2014,8100 153RD ST     
Theft from Motor Vehicle,1,2014,10700 UNIVERSITY DR     
Theft of Motor Vehicle,1,2014,12100 95TH AVE     
Theft of Motor Vehicle,1,2014,13400 14TH AVE     
Theft of Motor Vehicle,1,2014,9100 144TH ST     
Theft of Motor Vehicle,1,2014,10000 156B ST     
Theft of Motor Vehicle,1,2014,8700 143A ST     
Theft of Motor Vehicle,1,2014,9500 132ND ST     
Theft from Motor Vehicle,1,2014,7300 151A ST     
Break and Enter - Residence,1,2014,9300 126TH ST     
Theft from Motor Vehicle,1,2014,16700 63B AVE     
Theft from Motor Vehicle,1,2014,12200 AGAR ST     
Break and Enter - Business,1,2014,12300 84TH AVE     
Theft of Motor Vehicle,1,2014,10300 149A ST     
Break and Enter - Business,1,2014,12400 80TH AVE     
Theft from Motor Vehicle,1,2014,14900 83A AVE     
Theft from Motor Vehicle,1,2014,9400 PRINCE CHARLES BLVD    
Theft from Motor Vehicle,1,2014,6500 130TH ST     
Theft from Motor Vehicle,1,2014,9100 162A ST     
Theft of Motor Vehicle,1,2014,10600 141ST ST     
Theft from Motor Vehicle,1,2014,13200 SHAKESPEARE PL     
Theft from Motor Vehicle,1,2014,16700 61ST AVE     
Theft from Motor Vehicle,1,2014,6900 182A ST     
Theft of Motor Vehicle,1,2014,13400 71ST AVE     
Theft of Motor Vehicle,1,2014,15100 108TH AVE     
Theft from Motor Vehicle,1,2014,5700 WOODSIDE PL     
Theft from Motor Vehicle,1,2014,8300 153RD ST     
Break and Enter - Business,1,2014,15800 85TH AVE     
Theft from Motor Vehicle,1,2014,16700 85TH AVE     
Theft from Motor Vehicle,1,2014,15400 85TH AVE     
Break and Enter - Business,1,2014,18800 98A AVE     
Theft from Motor Vehicle,1,2014,12900 109TH AVE     
Break and Enter - Business,1,2014,13400 76TH AVE     
Theft from Motor Vehicle,1,2014,19500 FRASER HWY     
Theft from Motor Vehicle,1,2014,13300 102A AVE     
Theft of Motor Vehicle,1,2014,13400 89A AVE     
Break and Enter - Business,1,2014,8400 120TH ST     
Theft from Motor Vehicle,1,2014,14100 85A AVE     
Theft from Motor Vehicle,1,2014,6700 193A ST     
Theft from Motor Vehicle,1,2014,12400 82ND AVE     
Theft of Motor Vehicle,1,2014,12500 60A AVE     
Theft from Motor Vehicle,1,2014,14000 30A AVE     
Shoplifting,1,2014,1000 GUILDFORD TOWN CTR    
Break and Enter - Residence,1,2014,8800 141A ST     
Theft of Motor Vehicle,1,2014,11800 RIVER RD     
Break and Enter - Residence,1,2014,12600 69TH AVE     
Theft from Motor Vehicle,1,2014,13400 78A AVE     
Theft from Motor Vehicle,1,2014,13700 76TH AVE     
Theft of Motor Vehicle,1,2014,15200 87A AVE     
Theft of Motor Vehicle,1,2014,16800 86A AVE     
Theft from Motor Vehicle,1,2014,6700 178B ST     
Theft from Motor Vehicle,1,2014,12400 69TH AVE     
Theft of Motor Vehicle,1,2014,10900 146TH ST     
Theft from Motor Vehicle,1,2014,6300 186TH ST     
Theft from Motor Vehicle,1,2014,7100 144B ST     
Theft of Motor Vehicle,1,2014,12600 21A AVE     
Theft from Motor Vehicle,1,2014,16100 76A AVE     
Theft of Motor Vehicle,1,2014,18000 99A AVE     
Theft of Motor Vehicle,1,2014,2300 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,9400 140TH ST     
Theft from Motor Vehicle,1,2014,14400 81A AVE     
Theft from Motor Vehicle,1,2014,9700 154TH ST     
Fatal/Injury Collision,1,2014,13400 108TH AVE     
Theft from Motor Vehicle,1,2014,13700 101ST AVE     
Theft from Motor Vehicle,1,2014,14500 74A AVE     
Theft from Motor Vehicle,1,2014,8700 149TH ST     
Break and Enter - Business,1,2014,12600 72ND AVE     
Break and Enter - Business,1,2014,12700 88TH AVE     
Theft from Motor Vehicle,1,2014,13000 98TH AVE     
Theft of Motor Vehicle,1,2014,15000 66A AVE     
Theft from Motor Vehicle,1,2014,18500 58A AVE     
Theft from Motor Vehicle,1,2014,7000 151A ST     
Theft of Motor Vehicle,1,2014,8600 159TH ST     
Break and Enter - Residence,1,2014,11100 160TH ST     
Theft from Motor Vehicle,1,2014,15200 35TH AVE     
Theft from Motor Vehicle,1,2014,18800 67A AVE     
Theft from Motor Vehicle,1,2014,16000 85TH AVE     
Theft from Motor Vehicle,1,2014,13300 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,6600 128B ST     
Break and Enter - Business,1,2014,8300 129TH ST     
Theft from Motor Vehicle,1,2014,8300 146A ST     
Theft from Motor Vehicle,1,2014,6400 173A ST     
Theft from Motor Vehicle,1,2014,7300 146TH ST     
Theft of Motor Vehicle,1,2014,7900 122ND ST     
Theft of Motor Vehicle,1,2014,11300 LOUGHREN DR     
Theft from Motor Vehicle,1,2014,7500 KING GEORGE BLVD    
Break and Enter - Residence,1,2014,13600 22A AVE     
Theft of Motor Vehicle,1,2014,8500 140TH ST     
Theft of Motor Vehicle,1,2014,9400 150TH ST     
Theft of Motor Vehicle,1,2014,8400 162ND ST     
Theft of Motor Vehicle,1,2014,12300 104TH AVE     
Theft of Motor Vehicle,1,2014,1600 141B ST     
Theft from Motor Vehicle,1,2014,6400 173A ST     
Theft from Motor Vehicle,1,2014,6700 178A ST     
Fatal/Injury Collision,1,2014,7800 170TH ST     
Theft from Motor Vehicle,1,2014,12500 110TH AVE     
Theft from Motor Vehicle,1,2014,7000 151ST ST     
Break and Enter - Business,1,2014,9600 134TH ST     
Theft from Motor Vehicle,1,2014,9400 163RD ST     
Theft of Motor Vehicle,1,2014,13700 105TH AVE     
Break and Enter - Residence,1,2014,10700 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,12800 26TH AVE     
Theft of Motor Vehicle,1,2014,16100 108TH AVE     
Theft from Motor Vehicle,1,2014,8500 165A ST     
Theft of Motor Vehicle,1,2014,13900 102ND AVE     
Fatal/Injury Collision,1,2014,14800 60TH AVE     
Theft from Motor Vehicle,1,2014,7900 126A ST     
Theft from Motor Vehicle,1,2014,3000 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,8900 161A ST     
Break and Enter - Business,1,2014,12100 72ND AVE     
Fatal/Injury Collision,1,2014,5800 182ND ST     
Theft from Motor Vehicle,1,2014,14300 77TH AVE     
Fatal/Injury Collision,1,2014,4900 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,7100 148TH ST     
Theft from Motor Vehicle,1,2014,7300 PARKWOOD DR     
Theft from Motor Vehicle,1,2014,9100 162A ST     
Theft of Motor Vehicle,1,2014,10700 139TH ST     
Theft from Motor Vehicle,1,2014,13000 14TH AVE     
Theft of Motor Vehicle,1,2014,6600 127A ST     
Theft of Motor Vehicle,1,2014,13400 112A AVE     
Theft of Motor Vehicle,1,2014,13400 72ND AVE     
Theft from Motor Vehicle,1,2014,14300 67A AVE     
Theft from Motor Vehicle,1,2014,13300 108TH AVE     
Theft of Motor Vehicle,1,2014,13800 80A AVE     
Theft from Motor Vehicle,1,2014,15500 POPLAR DR     
Theft from Motor Vehicle,1,2014,19000 69A AVE     
Theft from Motor Vehicle,1,2014,9600 133A ST     
Break and Enter - Business,1,2014,12300 84TH AVE     
Theft from Motor Vehicle,1,2014,12300 84TH AVE     
Theft of Motor Vehicle,1,2014,9400 159A ST     
Theft of Motor Vehicle,1,2014,19400 54TH AVE     
Theft from Motor Vehicle,1,2014,6700 152ND ST     
Theft from Motor Vehicle,1,2014,9400 159A ST     
Theft of Motor Vehicle,1,2014,9500 130A ST     
Theft from Motor Vehicle,1,2014,13600 BENTLEY RD     
Theft from Motor Vehicle,1,2014,8100 153A ST     
Break and Enter - Residence,1,2014,10400 128TH ST     
Theft from Motor Vehicle,1,2014,14900 71A AVE     
Theft from Motor Vehicle,1,2014,14900 57TH AVE     
Theft of Motor Vehicle,1,2014,15400 85TH AVE     
Theft from Motor Vehicle,1,2014,18900 68B AVE     
Break and Enter - Residence,1,2014,9600 152B ST     
Theft of Motor Vehicle,1,2014,12700 99TH AVE     
Shoplifting,1,2014,17700 56TH AVE     
Theft of Motor Vehicle,1,2014,4100 152ND ST     
Theft from Motor Vehicle,1,2014,12100 76A AVE     
Theft of Motor Vehicle,1,2014,6600 138TH ST     
Break and Enter - Business,1,2014,10800 SCOTT RD     
Theft from Motor Vehicle,1,2014,10800 SCOTT RD     
Break and Enter - Business,1,2014,12200 KING GEORGE BLVD    
Theft of Motor Vehicle,1,2014,12200 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,14600 67A AVE     
Theft from Motor Vehicle,1,2014,15300 103A AVE     
Fatal/Injury Collision,1,2014,18800 96TH AVE     
Theft of Motor Vehicle,1,2014,10300 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,3000 MCBRIDE AVE     
Break and Enter - Residence,1,2014,13000 107TH AVE     
Theft from Motor Vehicle,1,2014,13800 LAUREL DR     
Theft from Motor Vehicle,1,2014,14800 76TH AVE     
Theft from Motor Vehicle,1,2014,9000 141A ST     
Theft from Motor Vehicle,1,2014,3100 184TH ST     
Theft from Motor Vehicle,1,2014,7500 146TH ST     
Theft from Motor Vehicle,1,2014,14400 81A AVE     
Break and Enter - Residence,1,2014,19400 ENTERPRISE WAY     
Theft of Motor Vehicle,1,2014,19400 ENTERPRISE WAY     
Theft of Motor Vehicle,1,2014,9200 138TH ST     
Theft from Motor Vehicle,1,2014,5800 170A ST     
Theft from Motor Vehicle,1,2014,11100 157TH ST     
Theft from Motor Vehicle,1,2014,15600 37TH AVE     
Theft of Motor Vehicle,1,2014,9200 149TH ST     
Theft from Motor Vehicle,1,2014,13700 CRESCENT RD     
Theft from Motor Vehicle,1,2014,18100 68A AVE     
Theft from Motor Vehicle,1,2014,5800 169TH ST     
Theft from Motor Vehicle,1,2014,13100 MARINE DR     
Theft from Motor Vehicle,1,2014,14100 84TH AVE     
Theft of Motor Vehicle,1,2014,19300 94TH AVE     
Theft from Motor Vehicle,1,2014,6300 126TH ST     
Theft from Motor Vehicle,1,2014,8400 156TH ST     
Theft from Motor Vehicle,1,2014,10900 142B ST     
Theft from Motor Vehicle,1,2014,2300 132A ST     
Break and Enter - Business,1,2014,13300 104TH AVE     
Theft from Motor Vehicle,1,2014,18200 69TH AVE     
Theft of Motor Vehicle,1,2014,10500 SCOTT RD     
Theft of Motor Vehicle,1,2014,10700 155A ST     
Break and Enter - Residence,1,2014,18100 67TH AVE     
Break and Enter - Business,1,2014,7100 KING GEORGE BLVD    
Break and Enter - Business,1,2014,12000 80TH AVE     
Theft from Motor Vehicle,1,2014,13300 76TH AVE     
Theft of Motor Vehicle,1,2014,15000 94TH AVE     
Break and Enter - Residence,1,2014,7900 126A ST     
Theft from Motor Vehicle,1,2014,15000 76A AVE     
Break and Enter - Residence,1,2014,3300 141ST ST     
Theft of Motor Vehicle,1,2014,3300 141ST ST     
Break and Enter - Business,1,2014,13100 76TH AVE     
Break and Enter - Residence,1,2014,13900 20A AVE     
Theft of Motor Vehicle,1,2014,13900 20A AVE     
Theft from Motor Vehicle,1,2014,9800 KING GEORGE BLVD    
Theft from Motor Vehicle,1,2014,7300 PARKWOOD DR     
Theft from Motor Vehicle,1,2014,8100 153A ST     
Theft from Motor Vehicle,1,2014,16400 63A AVE     
Theft from Motor Vehicle,1,2014,12300 OLD YALE RD    
Theft from Motor Vehicle,1,2014,5600 152ND ST     
Shoplifting,1,2014,8900 152ND ST     
Theft of Motor Vehicle,1,2014,10000 121ST ST     
